Time_since_start_s,Point1_x_diff,Point1_y_diff,Point2_x_diff,Point2_y_diff,Point3_x_diff,Point3_y_diff,Point4_x_diff,Point4_y_diff
41754.776,-0.7302376236382884,11.855845342379837,-1.2350989204665552,11.627917802355967,0.26976237636171163,11.699151616842244,-2.2350989204665552,11.873212683562372
41754.894,-0.7522953144618896,11.899720737778352,-1.2879794190030793,11.671582919976231,0.24770468553811043,11.665645362507917,-2.2879794190030793,11.839867011728984
41755.282,-0.8651165468458544,11.99655795673965,-1.4686579266570448,11.768192705444392,0.13488345315414563,11.591693835505737,-2.4686579266570448,10.766089168505516
41755.372,-0.9118650316679009,12.016634378301944,-1.5294124065008532,11.788308324801449,0.0881349683320991,11.576362106164538,-2.529412406500853,10.750727505045859
41755.476,0.02250912366474722,12.058315704025915,-0.6242005745732513,11.829955787845904,0.02250912366474722,11.544531393574573,-2.6242005745732513,10.7189226523152
41755.598,-0.002022887549742336,12.086307591083312,-0.6683691730943906,11.857853121465496,-0.002022887549742336,11.52315487312336,-1.6683691730943906,11.697618339339385
41755.706,-0.06086607610950523,12.122442149607764,-0.7524888823322726,11.893966318041805,-0.06086607610950523,11.495560051534142,-1.7524888823322726,11.670039831195538
41755.798,-0.14273145259994635,12.139882415493958,-0.8464121144568821,11.911594278566838,-0.14273145259994635,11.48224147106015,-1.8464121144568821,11.656577914251386
41755.896,-0.1998559905960633,12.157879472522268,-0.9160523030415106,11.929684120107765,-0.1998559905960633,11.468497686768728,-1.9160523030415106,11.642763273356877
41755.986,0.5660796571980882,12.1816283972247,-1.1662140325960308,11.954143940905567,-0.43392034280191183,11.450361382719052,-2.166214032596031,11.624084080401985
41756.078,-0.8269489181680001,11.196446668530541,-2.568642518464685,11.970322453092251,0.1730510818319999,11.43904513673067,-1.568642518464685,11.611729061395181
41756.204,0.24686694431073875,12.225901435281799,-2.51575056754416,11.99931138805232,0.24686694431073875,11.416551461239749,-1.5157505675441598,11.589591126937137
41756.32,-0.6942510595450244,11.263088467280966,-2.4831959284682057,12.036036994953747,0.3057489404549756,11.388152898884186,-1.4831959284682057,11.561544940361614
41756.398,-0.7748479146982845,11.27666207601527,-2.5731356988269454,12.049821671908887,0.2251520853017155,11.377787162408083,-1.5731356988269454,11.551018017748504
41756.526,-0.9570569666319102,11.308129138842844,-0.7770176244977733,12.081761881579155,0.0429430333680898,11.353756759931343,-1.7770176244977733,11.526626287965144
41756.658,-0.7970616883072239,11.332563503944868,-1.6346365615115133,12.105441250755575,0.2029383116927761,11.33509700668759,-1.6346365615115133,11.508543101274881
41756.786,-0.28327351576416504,12.367853705344942,-1.1444256962239479,12.142315379482454,-0.28327351576416504,11.308146993978198,-2.144425696223948,11.48038349327004
41757.02,0.05999948428075186,12.420800176141825,-1.8367390982162988,12.197375159908063,0.05999948428075186,11.267713445732966,-1.8367390982162988,11.43833607717778
41757.12,-0.6175516661635925,11.454555560590734,-2.5363456684867742,12.233452209230848,1.3824483338364075,11.241935524275505,-1.5363456684867742,11.41078517355038
41757.232,-0.9457419844607671,11.477515790429209,-1.8798820959992213,12.257498073642694,0.05425801553923293,11.224401521594643,-1.8798820959992213,11.392422106018842
41757.35,-0.9382792027384426,11.503470977850384,-1.8907056168051213,12.283263040145073,0.061720797261557436,11.20458036435764,-1.8907056168051213,11.372746214492395
41757.468,-0.12794978392554412,12.529467121952848,-2.098205656743687,12.309808912234985,-0.12794978392554412,11.184727929796168,-2.098205656743687,11.352473970021606
41757.608,-0.6219445184062806,11.561048412370951,-1.6132222147492712,11.34305085921136,-0.6219445184062806,11.160610295314541,-1.6132222147492712,11.327088144552818
41757.696,-1.0289817913908905,11.585686049353228,-2.036618487325029,12.369068602638606,0.9710182086091095,11.141795309753206,-2.036618487325029,11.307219215269015
41757.814,-0.5149012017769792,11.619951004973132,-1.5454968582115498,11.404955487932625,0.4850987982230208,11.11562824487936,-1.5454968582115498,11.27981353390686
41757.946,-0.7001011976661857,11.641404005217225,-1.7453589044177988,12.426977288607304,1.2998988023338143,11.099245265857064,-1.7453589044177988,11.262996179952438
41758.052,-0.30979098113056125,12.67516637329345,-1.3773885050129024,11.462839119927935,0.6902090188694388,11.07346201122391,-2.3773885050129024,11.235609631518912
41758.148,-0.41316404967881226,11.694773708843968,-1.4943228824481025,11.482720578175531,0.5868359503211877,11.058488508061032,-1.4943228824481025,11.220426789506178
41758.262,-0.21992112292730326,12.722025329581925,-1.320707330456969,11.509079156218093,0.7800788770726967,11.037677305627938,-1.320707330456969,11.20029757558649
41758.37,-0.7148752986920499,11.743731176668689,-1.8297986195524345,12.532529950352,0.2851247013079501,12.021101235454125,-2.8297986195524345,11.18238894444022
41758.454,-0.8201068977406862,11.771516376419754,-0.9543458528963811,11.560550151718417,0.17989310225931376,11.999882555573663,-2.954345852896381,11.160990801245077
41758.568,-0.3711915955212248,12.808487645990397,-1.5302055205498846,11.599395915784953,-0.3711915955212248,11.971648764173153,-2.5302055205498846,12.131325517575135
41758.728,-0.3901889176744362,11.817485649094465,-1.5554932731434974,12.608413733834539,0.6098110823255638,11.964777273266577,-2.5554932731434974,11.124438894620141
41758.792,-0.4280571093264598,11.837358300698838,-1.607263509156951,12.628314759455066,-0.4280571093264598,11.94960115660922,-2.607263509156951,11.109241109622474
41758.886,-0.5717724479222852,11.861306138196653,-0.767512805169531,11.652670143295722,0.4282275520777148,11.931312949137293,-2.767512805169531,11.090641671874721
41758.972,-0.881929723668236,11.885423518342236,-1.0939561180017563,11.677828752276127,0.11807027633176403,11.912895267297756,-2.0939561180017563,12.07142883644525
41759.09,-1.0554420493099883,11.918524992590676,-1.2903838493056128,11.71140126793631,-0.055442049309988306,11.88761671641663,-2.290383849305613,12.045790566108622
41759.202,-0.9093181267386399,11.94473288632878,-1.1630275521924887,11.736901406613242,0.09068187326136012,11.867602575343312,-2.1630275521924887,12.02631691523186
41759.316,-0.8253324895604806,11.969683035535866,-1.0967880208241354,11.761387354911164,0.17466751043951945,11.84854893406174,-2.0967880208241354,12.007617769529872
41759.394,-1.1728654521098747,12.005621268333186,-1.4688503513602313,11.798447329606972,-0.1728654521098747,11.821104040232399,-2.4688503513602313,10.979316236825753
41759.54,-1.1232577332624487,12.029046300214702,-1.4358384117658147,11.821548570586344,-0.12325773326244871,11.803215082904785,-2.4358384117658147,10.96167454838826
41759.732,-0.9441962578345056,12.080944101012278,-1.291526690258138,11.876296992913751,0.05580374216549444,11.763582370831955,-1.291526690258138,11.919864906646183
41759.868,-1.2381300597816676,12.126600139158654,-1.6169691503015997,11.922825536126197,-0.23813005978166757,11.728716295845288,-2.6169691503015997,10.884332527085292
41759.984,-0.4253407025061051,12.138548634318909,-0.8121942067211307,11.9354268224277,0.5746592974938949,11.719591607301368,-1.8121942067211307,11.874709322555134
41760.058,-0.5335061005229704,12.160888810935376,-0.9358560035333312,11.958058883467345,0.46649389947702957,11.7025311196914,-1.9358560035333312,11.857425932025876
41760.156,-0.8183392657032869,12.184938359219188,-1.2370211833397207,11.983071656088214,0.18166073429671314,11.68416523890312,-1.2370211833397207,11.838324467220104
41760.238,-0.8464139126475061,12.186522804727929,-1.2661526798482896,11.984755471138612,0.1535860873524939,11.682955247888572,-1.2661526798482896,11.837038590823624
41760.314,0.03647893177918604,12.209772969787082,-0.3993813352434472,12.008328943802553,0.03647893177918604,11.665199830832819,-1.3993813352434472,11.819036273956726
41760.422,-0.616505587804113,12.245784177494727,-1.076375104263434,12.046662213242882,0.383494412195887,11.637699208368247,-2.076375104263434,11.789762366253683
41760.492,0.25710617430422644,12.264307812361892,-1.2155455920768077,12.065573842324397,0.25710617430422644,11.623553293205191,-2.2155455920768077,11.775320152157917
41760.562,0.1685243565435144,12.289984294323403,-1.3220212023422846,12.09145439337658,0.1685243565435144,11.6039449745291,-2.3220212023422846,11.755555992359689
41760.64,0.002928551595346107,12.310128113049018,-1.501463052074314,12.112130473178127,0.002928551595346107,11.588561776101926,-1.501463052074314,11.73976632295205
41760.724,-0.09078711096447023,12.32715680695145,-0.6069771664087398,12.129430721181109,-0.09078711096447023,11.575557500158766,-1.6069771664087398,11.72655466971537
41760.804,0.6334829210852604,12.34722078208057,-0.8962820843901227,12.150455562130105,-0.3665170789147396,11.560235275765592,-1.8962820843901227,11.710498662429643
41760.866,0.30461443693747015,12.363682049273223,-1.2360910815524448,12.168104242972731,0.30461443693747015,11.547664325687265,-2.236091081552445,11.697020922033232
